delta_FPOGX,delta_FPOGY,delta_LPD,delta_RPD
0.0,0.0,0.0,0.0
-0.00042000000000003146,0.001920000000000005,1.1170799999999979,0.013749999999998153
-0.00037999999999999146,0.0015399999999999858,-0.05835000000000079,-0.014769999999998618
-0.00036999999999998145,0.001469999999999999,-0.30686000000000035,0.4189000000000007
-0.007500000000000007,0.025160000000000016,0.10997000000000057,-0.4213900000000024
-0.0050200000000000244,0.01676999999999998,0.18640000000000256,-0.9569799999999979
-0.0019000000000000128,0.0038600000000000023,-0.13714000000000226,0.7661699999999989
-0.0009699999999999709,0.0011600000000000221,0.16028999999999982,0.30398999999999887
-0.0011900000000000244,-0.003939999999999999,-0.1560600000000001,-0.13600999999999885
-0.0009099999999999664,-0.003500000000000003,-0.7582099999999983,0.3222200000000015
-0.00020000000000003348,-0.0005000000000000004,1.1618899999999996,0.29426999999999737
0.0015600000000000058,0.0018699999999999828,0.046179999999999666,-0.23727999999999838
0.0012800000000000034,0.0022999999999999965,-0.20981000000000094,0.09994999999999976
-0.00032999999999999696,-0.0023299999999999987,0.08718999999999966,-0.444939999999999
-0.0006399999999999739,0.0005400000000000127,-0.07059999999999889,0.3962399999999988
-0.00043000000000004146,0.0011200000000000099,-0.1870599999999989,0.012119999999999465
0.00024000000000001798,0.0024399999999999977,0.40143999999999735,-0.07886999999999844
-0.00036999999999998145,0.001679999999999987,0.13212000000000046,0.03582999999999714
-0.00036000000000002697,0.0012699999999999934,-0.0922099999999979,-0.0013799999999974943
0.00017000000000000348,0.0016100000000000003,0.21408999999999878,0.25486000000000075
-8.999999999997899e-05,0.0013200000000000156,0.1374600000000008,-0.32535000000000025
-4.999999999999449e-05,0.001459999999999989,-0.06662999999999997,0.08774999999999977
6.999999999995898e-05,0.0008100000000000052,0.141490000000001,0.4477499999999992
-0.00030999999999997696,0.0009099999999999941,-0.4234700000000018,-0.08959000000000117
-0.00032999999999999696,0.00045000000000000595,0.0944199999999995,0.0009800000000019793
0.00036999999999998145,0.0005900000000000072,-0.12443000000000026,0.12606999999999857
-0.00035999999999997145,-0.0007199999999999984,0.15681999999999974,0.10261000000000209
-0.00040000000000001146,-0.0011000000000000176,-0.000989999999998048,-0.15744000000000113
7.00000000000145e-05,-0.0010699999999999876,0.22409999999999997,-0.06423000000000201
4.999999999999449e-05,-0.0010100000000000109,0.0972299999999997,0.11396000000000228
4.999999999999449e-05,-0.0008499999999999897,-0.30138000000000176,0.16430000000000078
6.0000000000004494e-05,0.0004599999999999882,0.29638000000000275,-0.13931000000000182
